CPU Name,Brand,Generation,Series,Socket,Cores,Threads,GHz,TDP,Price,Link,Store,Model,Image URL
"Intel Core i3-13100T (4C/8T, 2.50 GHz 12 MB Cache, LGA1700, 35W), TRAY",Intel,13th,i3,LGA1700,4,8,3.4,60W,165.58,https://www.dateks.lv/cenas/procesori-intel/931416-intel-core-i3-13100t-4c-8t-2-50-ghz-12-mb-cache-lga1700-35w-tray,Dateks,Core i3-13100T,https://www.dateks.lv/images/pic/1200/1200/960/1449.jpg
"Intel Core i5-13400 (6P+4E/16T, 2.50 GHz, 20 MB Cache, LGA1700, 65W)",Intel,13th,i5,LGA1700,10,16,2.5,65W,173.97,https://www.dateks.lv/cenas/procesori-intel/927119-intel-core-i5-13400-6p-4e-16t-2-50-ghz-20-mb-cache-lga1700-65w-,Dateks,Core i5-13400,https://www.dateks.lv/images/pic/1200/1200/126/1354.jpg
"Intel Core i5-12600KF (6P+4E/16T, 3.70 GHz, 20MB Cache, LGA1700, 125W)",Intel,12th,i5,LGA1700,10,16,3.7,125W,178.13,https://www.dateks.lv/cenas/procesori-intel/758312-intel-core-i5-12600kf-6p-4e-16t-3-70-ghz-20mb-cache-lga1700-125w-,Dateks,Core i5-12600KF,https://www.dateks.lv/images/pic/1200/1200/923/1085.jpg
"Intel Core i5-14400T (6P+4E/16T, 1.50 GHz, 20MB Cache, LGA1700, 35W), TRAY",Intel,14th,i5,LGA1700,10,16,1.5,35W,179.17,https://www.dateks.lv/cenas/procesori-intel/1064233-intel-core-i5-14400t-6p-4e-16t-1-50-ghz-20mb-cache-lga1700-35w-tray,Dateks,Core i5-14400T,https://www.dateks.lv/images/pic/1200/1200/807/1600.jpg
"Intel Core i5-12600K (6P+4E/16T, 3.70 GHz, 20MB Cache, LGA1700, 125W)",Intel,12th,i5,LGA1700,10,16,3.7,125W,182.36,https://www.dateks.lv/cenas/procesori-intel/758311-intel-core-i5-12600k-6p-4e-16t-3-70-ghz-20mb-cache-lga1700-125w-,Dateks,Core i5-12600K,https://www.dateks.lv/images/pic/1200/1200/923/1085.jpg
"Intel Core i5-11400 (6C/12T, 2.60 GHz, 12MB Cahe, LGA1200, 65W)",Intel,11th,i5,LGA1200,6,12,2.6,65W,190.55,https://www.dateks.lv/cenas/procesori-intel/691512-intel-core-i5-11400-6c-12t-2-60-ghz-12mb-cahe-lga1200-65w-,Dateks,Core i5-11400,https://www.dateks.lv/images/pic/1200/1200/938/881.jpg
"Intel Core i5-11400F (6C/12T, 2.60 GHz, 12MB Cache, LGA1200, 65W)",Intel,11th,i5,LGA1200,6,12,2.6,65W,191.51,https://www.dateks.lv/cenas/procesori-intel/691513-intel-core-i5-11400f-6c-12t-2-60-ghz-12mb-cache-lga1200-65w-,Dateks,Core i5-11400F,https://www.dateks.lv/images/pic/1200/1200/938/881.jpg
"Intel Core i5-12600K (6P+4E/16T, 3.70 GHz, 20MB Cache, LGA1700, 125W), TRAY",Intel,12th,i5,LGA1700,10,16,3.7,125W,194.71,https://www.dateks.lv/cenas/procesori-intel/815228-intel-core-i5-12600k-6p-4e-16t-3-70-ghz-20mb-cache-lga1700-125w-tray,Dateks,Core i5-12600K,https://www.dateks.lv/images/pic/1200/1200/257/1028.jpg
"Intel Core i5-12500 (6C/12T, 3.00 GHz, 18MB Cache, LGA1700, 65W)",Intel,12th,i5,LGA1700,6,12,3.0,65W,200.69,https://www.dateks.lv/cenas/procesori-intel/796787-intel-core-i5-12500-6c-12t-3-00-ghz-18mb-cache-lga1700-65w-,Dateks,Core i5-12500,https://www.dateks.lv/images/pic/1200/1200/215/1117.jpg
"Intel Core i5-12400T (6C/12T, 1.80 GHz, 18MB Cache, LGA1700, 35W), TRAY",Intel,12th,i5,LGA1700,6,12,1.8,35W,215.04,https://www.dateks.lv/cenas/procesori-intel/856724-intel-core-i5-12400t-6c-12t-1-80-ghz-18mb-cache-lga1700-35w-tray,Dateks,Core i5-12400T,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-12500 (6C/12T, 3.00 GHz, 18MB Cache, LGA1700, 65W), TRAY",Intel,12th,i5,LGA1700,6,12,3.0,65W,225.07,https://www.dateks.lv/cenas/procesori-intel/821676-intel-core-i5-12500-6c-12t-3-00-ghz-18mb-cache-lga1700-65w-tray,Dateks,Core i5-12500,https://www.dateks.lv/images/pic/1200/1200/383/1121.jpg
"Intel Core i5-14600KF (6P+8E/20T, 3.50 GHz, 24 MB Cache, LGA1700, 125W)",Intel,14th,i5,LGA1700,14,20,3.5,125W,230.5,https://www.dateks.lv/cenas/procesori-intel/1012829-intel-core-i5-14600kf-6p-8e-20t-3-50-ghz-24-mb-cache-lga1700-125w-,Dateks,Core i5-14600KF,https://www.dateks.lv/images/pic/1200/1200/365/1519.jpg
"Intel Core i5-13600K (6P+8E/20T, 3.50 GHz, 24 MB Cache, LGA1700, 125W), TRAY",Intel,13th,i5,LGA1700,14,20,3.5,125W,233.55,https://www.dateks.lv/cenas/procesori-intel/917194-intel-core-i5-13600k-6p-8e-20t-3-50-ghz-24-mb-cache-lga1700-125w-tray,Dateks,Core i5-13600K,https://www.dateks.lv/images/pic/1200/1200/261/1307.jpg
"Intel Core i5-14600K (6P+8E/20T, 3.50 GHz, 24 MB Cache, LGA1700, 125W)",Intel,14th,i5,LGA1700,14,20,3.5,125W,241.88,https://www.dateks.lv/cenas/procesori-intel/1012828-intel-core-i5-14600k-6p-8e-20t-3-50-ghz-24-mb-cache-lga1700-125w-,Dateks,Core i5-14600K,https://www.dateks.lv/images/pic/1200/1200/364/1518.jpg
"Intel Core i7-12700F (8P+4E/20T, 2.10 GHz, 25MB Cache, LGA1700, 65W), TRAY",Intel,12th,i7,LGA1700,12,20,2.1,65W,243.26,https://www.dateks.lv/cenas/procesori-intel/816769-intel-core-i7-12700f-8p-4e-20t-2-10-ghz-25mb-cache-lga1700-65w-tray,Dateks,Core i7-12700F,https://www.dateks.lv/images/pic/1200/1200/925/1085.jpg
"Intel Core i5-13500 (6P+8E/20T, 2.50 GHz, 24 MB Cache, LGA1700, 65W)",Intel,13th,i5,LGA1700,14,20,2.5,65W,245.68,https://www.dateks.lv/cenas/procesori-intel/927121-intel-core-i5-13500-6p-8e-20t-2-50-ghz-24-mb-cache-lga1700-65w-,Dateks,Core i5-13500,https://www.dateks.lv/images/pic/1200/1200/126/1354.jpg
